一: b
奠: aebdze2bbbec
奢: becbdbedzbb
奥: edzaebdeabec
奭: bbedzbbbedzbbec
女: ieb
奴: iebhc
奶: iebre
奸: iebbbd
她: iebudn
好: iebhmb
妁: iebeua
如: iebdzb
妃: iebzbn
妄: ab2ieb
妆: afdieb
妇: iebzbb
妈: iebzxb
妊: iebebdb
妍: iebbbed
妒: iebazbe
妓: iebbdhc
妖: iebebec
妗: iebecah
妙: iebdeae
妞: iebzdbb
妣: iebbjen
妤: iebhahm
妥: eaaeieb
妨: iebabue
妩: iebbben
妪: iebbea2
妫: iebaeua
妮: iebzbeen
妯: iebdzbdb
妲: iebdzbbb
妹: iebbbdec
妻: bzbbdieb
妾: abaebieb
姆: ieb2uaba
姊: iebexde
始: ieb3adzb
姐: iebdzbbb
姑: iebbddzb
姒: iebjaea
姓: iebebbdb
委: ebdecieb
姗: iebeueub
姘: iebaebbed
姚: iebeafnea
姜: aebbdbieb
姝: iebebbdec
姞: iebbdbdzb
姣: iebabeaec
姥: iebbdbeen
姨: iebbzbxec
姬: iebbddzbd2
姹: iebaahebn
姻: iebdzbeab
姽: iebehbeun
姿: afehecieb
威: bebieboea
娃: iebbdbbdb
娄: aebdecieb
娅: iebbddaeb
娆: iebboeben
娇: iebebeced
娈: abddeaieb
娉: iebdzbdbbx
娌: iebdzbbdbb
娑: aafdeaeieb
娓: iebzbeebbn
娘: iebazbbjec
娜: iebubberd
娟: iebdzbdubb
娠: iebbebbjec
娣: iebaezbxde
娥: iebebmfoea
娩: iebehdzben
娱: iebdzbbbec
娲: iebdzbduea
娴: iebadubdea
娶: bddbbfhcieb
娼: iebdzbbdzbb
婀: iebrdbdzbm
婆: aafhedhcieb
婉: iebaahehaun
婊: iebbbdbejec
婕: iebbzbbdbec
婚: iebejbodzbb
婞: iebbdbaebbd
婢: iebedzbbebd
婧: iebbbdbdubb
婪: bdeabdecieb
婳: iebbdzbdb2d
婴: dzeadzeaieb
婵: iebaedzbbbd
婶: iebaahdzbbd
婷: iebabdzbahbm
婺: hahmeebecieb
婿: iebhdbecdubb
媒: iebbddbbbdec
媚: iebzdbedzbbb
媛: iebeaaebbehc
媪: iebdzbbdzddb
媲: iebedzeabbjen
媳: iebedzbbbaoaa
媵: eubbaebbecieb
媸: ieb2ddbdzbdba
媾: iebbbddbdubdb
嫁: iebaahbeleeec
嫂: iebedbzbbdhc
嫉: iebabeafebbec
